C2,19.90,15.50,270.00,100nf,CAPC2012X110
J2,38.39,43.35,270.00,"KEYBOARD GROVE",HW4-2.0-90D
R1,23.20,20.80,90.00,100,RESC2012X65
SD,8.05,23.08,90.00,MICROSD,MICROSD
U2,23.11,28.19,90.00,,TSSOP14
